"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"603","H6FL13205",2018,"C00590067",214180
"604","H6FL14112",2018,"C00609297",214182
"605","H6FL18097",2018,"C00579896",214188
"606","H6FL18097",2018,"C00632257",216708
"607","H6FL18121",2018,"C00581330",214191
"608","H6FL18170",2018,"C00612408",214194
"609","H6FL19087",2018,"C00618223",214195
"610","H6FL22081",2018,"C00581033",214198
"611","H6FL23063",2018,"C00602920",214200
"612","H6FL23089",2018,"C00679258",221286
"613","H6FL25027",2018,"C00578252",214202
"614","H6FL27031",2018,"C00618983",214207
"615","H6FL27049",2018,"C00621920",214208
"616","H6GA03113",2018,"C00638833",217073
"617","H6GA03113",2018,"C00607838",214211
"618","H6GA04129",2018,"C00418293",214214
"619","H6GA05217",2018,"C00202416",214215
"620","H6GA06116",2018,"C00631168",216662
"621","H6IA02146",2018,"C00414318",214232
"622","H6IA02161",2018,"C00662395",218815
"623","H6IA02161",2018,"C00613539",214234
